46,2014-06-03 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,760000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ (для газеты ""Советский спорт"")",760000
46,2014-06-03 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,760000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ (для газеты ""Советский спорт"")",760000
57,2014-06-05 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,1600000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ(для газеты ""Комсомольская правда"")",1600000
46,2014-06-03 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,760000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ (для газеты ""Советский спорт"")",760000
57,2014-06-05 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,1600000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ(для газеты ""Комсомольская правда"")",1600000
43,2014-09-23 01:00:00.0,2014-09-23 01:00:00.0,2014-11-30 00:00:00.0,"ЗАО ""Издательский дом ""Комсомольская правда""","ЗАО ""ИД ""Комсомольская правда""",7714037217,850000,"Предоставление из федерального бюджета  субсидий организациям, осуществляющим реализацию соц.значимых проектов в области печатных СМИ (для газеты ""Комсомольская правда"")",850000
46,2014-06-03 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,760000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ (для газеты ""Советский спорт"")",760000
57,2014-06-05 01:00:00.0,,,"ЗАО ""Издательский Дом ""Комсомольская правда""",,7714037217,1600000,"Предост.из федерального бюджета субсидий организациям,осущ.реализац.соц.значимых проектов в области печатных СМИ(для газеты ""Комсомольская правда"")",1600000
43,2014-09-23 01:00:00.0,2014-09-23 01:00:00.0,2014-11-30 00:00:00.0,"ЗАО ""Издательский дом ""Комсомольская правда""","ЗАО ""ИД ""Комсомольская правда""",7714037217,850000,"Предоставление из федерального бюджета  субсидий организациям, осуществляющим реализацию соц.значимых проектов в области печатных СМИ (для газеты ""Комсомольская правда"")",850000
19/142-14д,2014-10-31 00:00:00.0,2014-10-31 00:00:00.0,2014-12-31 00:00:00.0,"Закрытое акционерное общество ""Издательский дом ""Комсомольская правда""","ЗАО ""ИД ""Комсомольская правда""",7714037217,200000,"Предоставление и целевое использование субсидии в области электронных СМИ  на про-во цикла радиопрограмм ""Национальный вопрос""",200000
