,№,Номер проекта,Название,Руководитель,Ключевые слова,Коды классификатора,Конкурс,Год,"Организация, регион"
0,1,14-27-00068,"Разработка фундаментальной теории, методов и алгоритмов координатно-временного и навигационного обеспечения для решения приоритетных государственных задач геодезии и дистанционного зондирования с учетом классических и релятивистских эффектов гравитационного поля Земли и других массивных тел солнечной системы.,",Копейкин С. М.,"Геодезия, гравитация, общая теория относительности, координатно-временное навигационное обеспечение, Глобальные Навигационные Спутниковые Системы, квазигеоид, метрология времени, атомные стандарты частоты",Науки о Земле,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"СГУГиТ, 

Новосибирская обл"
1,2,14-28-00218,"Динамика социальной трансформации современной России в социально-экономическом, политическом, социокультурном и этнорелигиозном контекстах,",Горшков М. К.,"социальные трансформации, массовое сознание, экономическое поведение, модернизация, социокультурные факторы, общественно-политические институты и процессы, демократия, гражданское общество, местное самоуправление, жизненные ориентации, гражданская идентичность, религиозная идентичность, этническая идентичность, безопасность, толерантность",Гуманитарные и социальные науки,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИС РАН, 

г Москва"
2,3,14-24-00166,"Механизмы регуляции экспрессии генов и организации архитектуры хроматина у высших эукариот,",Георгиев П. Г.,"Регуляция транскрипции, дистанционные взаимодействия, эпигенетика, транскрипционные факторы, архитектура хроматина, альтернативный сплайсинг, транс-сплайсинг, репрессионные Polycomb-комплексы, некодирующая РНК, ORC-комплекс, искусственные транскрипционные факторы",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИБГ РАН, 

г Москва"
3,4,14-24-00093,"Механизмы активного деметилирования в процессах эпигенетической регуляции,",Жарков Д. О.,"эпигенетика, клеточная регуляция, 5-метилцитозин, 5-гидроксиметилцитозин, белки TET, ДНК-дезаминазы, деметилирование, повреждение ДНК, репарация ДНК, ДНК-гликозилазы, 8-оксогуанин, iPS-клетки",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИХБФМ СО РАН, 

Новосибирская обл"
4,5,14-24-00086,"Механизмы регуляции направленного роста нервов и сосудов компонентами фибринолитической системы и GPI-заякоренными навигационными рецепторами,",Ткачук В. А.,"навигационные рецепторы, урокиназа, рецептор урокиназы, Т-кадгерин, GPI-заякоренные белки, ангиогенез, нейрогенез",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
5,6,14-27-00058,"Изотопные провинции и изотопная структура континентальной коры палеозоид западного сегмента Центрально-Азиатского складчатого пояса и Урала,",Дегтярев К. Е.,"Центрально-Азиатский складчатый пояс, Урал, Nd-Sr изотопная систематика, изотопные провинции, геохронология, офиолиты, островодужные и окраинно-континентальные комплексы, гранитоиды, этапы и механизмы формирования континентальной коры",Науки о Земле,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ГИН РАН, 

г Москва"
6,7,14-22-00004,"Разработка методов компьютерного моделирования, основанных на численном решении квантово-механической задачи, для проведения поисковых исследований новых перспективных материалов.,",Анисимов В. И.,"электронная структура, корреляционные эффекты, магнитные свойства, переходы металл-диэлектрик",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИФМ УрО РАН, 

Свердловская обл"
7,8,14-22-00098,"Экспериментальные и теоретические исследования фазовых переходов и квантовых эффектов в наноструктурированных соединениях на основе редкоземельных и переходных металлов.,",Менушенков А. П.,"фазовые переходы, наноструктурирование, сверхпроводимость, физика наноструктур, сильнокоррелированные системы, локально чувствительные методы, метаматериалы, метод Монте-Карло, сплавы с эффектом памяти формы, сложные оксиды на основе редкоземельных и переходных металлов, тонкие пленки дихалькогенидов и оксидов переходных металлов, лазерное напыление.",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"НИЯУ МИФИ, 

г Москва"
8,9,14-24-00123,"Системная компьютерная биология: анализ и моделирование структурно-функциональной организации и эволюции генных сетей,",Колчанов Н. А.,"генные сети, системная компьютерная биология, молекулярно-генетические системы, геномика, транскриптомика, протеомика, эволюция, математическое моделирование, компьютерный анализ",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИЦиГ СО РАН, 

Новосибирская обл"
9,10,14-24-00031,"Эпигенетические механизмы и регуляция транскрипции: структурно-функциональный анализ и разработка новых методов исследования,",Кирпичников М. П.,"биоинженерия, эпигенетика, механизмы транскрипции, РНК-полимераза, гистон, нуклеосомы, флуоресцентная микроскопия одиночных комплексов, шапероны, трехмерная структура, электронная микроскопия, компьютерное моделирование, молекулярная динамика, время-разрешённый футпринтинг",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
10,11,14-22-00243,"Углеродная фотоника,",Конов В. И.,"углерод, алмаз, нанотрубки, графен, фотоника, лазерные технологии, микро- и наноструктуры, газофазный синтез, люминесценция, центры окраски, однофотонные эмиттеры",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИОФ РАН, 

г Москва"
11,12,14-21-00025,"Вариационные принципы комплексного анализа и конструирование алгоритмов для высокопроизводительных вычислительных комплексов современной архитектуры,",Аптекарев А. И.,"рациональные аппроксимации аналитических функций, рекуррентные соотношения, функционал энергии, вариационные принципы, многомерный дискретный оператор Шредингера, уравнение Навье-Стокса, аттракторы, многофазные течения, задача фильтрации, прямое численное моделирование, ультрапараллельные коды для суперкомпьютеров","Математика, информатика и науки о системах",Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИПМ им. М.В. Келдыша РАН, 

г Москва"
12,13,14-24-00165,"Разнообразие, метаболизм и экология термофильных прокариот, использующих одноуглеродные соединения,",Бонч-Осмоловская Е. А.,"термофильные микроорганизмы, гидротермы, метаболизм С1-соединений, литоавтотрофы, геномы, мтеганомы",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФИЦ Биотехнологии РАН, 

г Москва"
13,14,14-21-00035,"Анализ и алгебра в приложениях и взаимодействии,",Смирнов С. К.,"математическая физика, решеточные модели, алгебраическая геометрия, пространства модулей, гармонический анализ, комплексный анализ, К-теория, теория групп, теория гомотопий","Математика, информатика и науки о системах",Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"СПбГУ, Санкт-Петербургский государственный университет, 

г Санкт-Петербург"
14,15,14-25-00013,"Изменение архитектуры ДНК как важный элемент механизма системной геномной регуляции,",Позмогова Г. Е.,"Супрамолекулярные комплексы ДНК, конформационные превращения полинуклеотидов, генно-регуляторные сети, нуклеопротеиновые взаимодействия, модифицированные олигонуклеотиды, эпигенетическое метилирование ДНК, генотерапия, исскуственные ДНК-антитела, аптамеры, биоаналитика ДНК, G-квадруплексы ДНК",Фундаментальные исследования для медицины,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБУ ФНКЦ ФХМ ФМБА РОССИИ, 

г Москва"
15,16,14-22-00018,"Моделирование управляемого синтеза и физических свойств полупроводниковых наноструктур на основе обобщенной теории нуклеации,",Дубровский В. Г.,"Нуклеация, моделирование, эпитаксия, наноструктуры III-V, нитевидные нанокристаллы, карбид кремния, широкозонные полупроводники",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"СПбАУ РАН, Академический университет, 

г Санкт-Петербург"
16,17,14-29-00277,"Разработка концептуальных основ создания перспективных источников и детекторов ТГц диапазона на базе микро- и наноструктур с использованием новых физических принципов функционирования,",Рыжий В. И.,"Детекторы и источники тергерцового излучения, микро-нано транзисторные структуры, наноэлектромеханические структуры, плазмоника, фотонные кристаллы, математическое моделирование, физика конденсированного состояния",Инженерные науки,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"МГТУ им. Н.Э. Баумана, 

г Москва"
17,18,14-21-00066,"Методы функционального анализа в задачах исследования уравнений математической физики,",Звягин В. Г.,"Теория топологической степени, аппроксимационно-топологический подход, неньютоновская гидродинамика, многозначное отображение, группы диффеоморфизмов, производные в среднем, вырождающийся псевдодифференциальный оператор, полугруппа операторов, спектральная теория разностных операторов, спектральная теория линейных отношений, асимптотическое поведение ограниченных полугрупп операторов на бесконечности, интегро-дифференциальное уравнение, абстрактная формула Грина, сублинейный анализ, гидромеханика невесомости.","Математика, информатика и науки о системах",Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБОУ ВО «ВГУ», 

Воронежская обл"
18,19,14-29-00091,"Разработка физических основ комплексного электронно-ионно-плазменного инжиниринга поверхности материалов и изделий.,",Коваль Н. Н.,"Физика вакуумного разряда, плазменная эмиссионная электроника, генерация низкотемпературной плазмы, электронные, ионные, плазменные источники, электронно-ионно-плазменная модификация поверхности, физика сильноточных электронных пучков, физика плазмы, физика поверхности, микроструктура, фазовый состав, эксплуатационные свойства",Инженерные науки,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИСЭ СО РАН, 

Томская обл"
19,20,14-23-00136,"Разработка новых многофункциональных легированных стекол и наностеклокерамик для оптических, телекоммуникационных и лазерных систем,",Никоноров Н. В.,"многофункциональные стекла, легированные стекла, фото-термо-рефрактивные стекла, наностеклокерамики, нанокристаллы, металлические наночастицы, редкоземельные ионы, технология синтеза стекла, фото-термо-индуцированная кристаллизация, ионный обмен, голографические оптические элементы, объемные брэгговские решетки, планарные волноводы",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Университет ИТМО, 

г Санкт-Петербург"
20,21,14-23-00176,"Металлсодержащие молекулярные и супрамолекулярные архитектуры как прекурсоры для направленного получения функциональных материалов и покрытий,",Еременко И. Л.,"Гомо- и гетерометаллические координационные соединения, переходные металлы, лантаниды, синтез, строение, магнитные свойства, фотолюминесценция, термическое разложение, функциональные неорганические материалы, гибридные материалы, пленки, покрытия",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИОНХ РАН, 

г Москва"
21,22,14-23-00160,"Направленный дизайн, синтез и исследование биологической активности мультитаргетных соединений в качестве инновационных препаратов для лечения нейродегенеративных заболеваний.,",Бачурин С. О.,"медицинская химия, лекарства, нейродегенеративные заболевания, моделирование связи структура-активность, нейрохимия, нейропротекторы, стимуляторы памяти.",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИФАВ РАН, 

Московская обл"
22,23,14-23-00012,"Развитие научных основ аналитической химии: поиск и исследование новых зависимостей между составом веществ и их физическими характеристиками в целях создания и совершенствования методов химического анализа,",Золотов Ю. А.,"Аналитическая химия, химический анализ, концентрирование микрокомпонентов, наноаналитика, ионные жидкости, фотометрическая спектроскопия, тест-методы анализа, субкритическая вода, применение и получение золь-гель материалов, рентгенофлуоресцентный анализ с полным внешним отражением",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
23,24,14-24-00155,"Актуальные проблемы функциональной и эволюционной биоинформатики,",Гельфанд М. С.,"Альтернативный сплайсинг, регуляция транскрипции, РНК-переключатели, аннотация геномов, геном неандертальца, белок-ДНКовые взаимодействия, пространственная структура хроматина, эпигеномика, дифференциальная экспрессия, регуляторный протеолиз, молекулярная эволюция",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИППИ РАН, 

г Москва"
24,25,14-21-00162,"Оптимальные статистические процедуры в классических и квантовых информационных системах.,",Ширяев А. Н.,Теория вероятностей; математическая статистика; случайные процессы; задачи большой размерности; фрактальные процессы; статистический последовательный анализ; методы Монте-Карло; случайные матрицы; информационные неравенства; некоммутативная теория вероятностей; квантовая теория информации; факторный анализ; снижение размерности; предельные теоремы,"Математика, информатика и науки о системах",Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"МИАН, 

г Москва"
25,26,14-24-00157,"БЕЛКОВЫЙ ДИЗАЙН И ИНЖЕНЕРИЯ ОЛИГОМЕРНЫХ БЕЛКОВ И АМИЛОИДНЫХ СТРУКТУР,",Финкельштейн А. В.,"дизайн белковых структур, белковая инженерия, пространственные структуры белков, аминокислотные последовательности, превращения белковых структур, физические свойства белков, масс-спектроскопия, экспрессия и очистка белков, шапероны, олигомерные белки, амилоиды, конформационные расчеты",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИБ РАН, 

Московская обл"
26,27,14-24-00061,"Некодирующие РНК: изучение механизмов функционирования и поиск потенциальных мишеней для терапии ,",Орецкая Т. С.,"ДНК, РНК, некодирующие РНК, рибосомы, НК-белковые комплексы, теломераза, вирус иммунодефицита человека, интеграза, терапевтические нуклеиновые кислоты",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
27,28,14-27-00103,"Геодинамическая эволюция зоны сочленения Алданского щита и Центрально-Азиатского складчатого пояса,",Котов А. Б.,"Геодинамика, структурная эволюция, магматизм, метаморфизм, осадконакопление, континентальная кора, Алданский щит, Центрально-Азиатский складчатый пояс",Науки о Земле,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИГГД РАН, 

г Санкт-Петербург"
28,29,14-23-00218,"Новое поколение протонпроводящих твердых электролитов для электрохимических устройств: синтез, особенности строения, механизмы ионного переноса,",Добровольский Ю. А.,"Твердые электролиты, протонпроводящие полимеры, структура и морфология полимеров, нанокомпозиты, протонная проводимость, протонгидратная оболочка, механизмы протонного транспорта, распределенные системы, квантово-химическое моделирование, водородная энергетика, топливные элементы, сенсоры",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИПХФ РАН, 

Московская обл"
29,30,14-24-00112,"Воздействие изменений климата на ареал, породный состав, продуктивность, жизненное состояние и горимость горных лесов Алтае-Саянского региона,",Харук В. И.,"Алтае-Саянский регион, изменения климата, горнотаежные леса, продуктивность, усыхание древостоев, верхняя граница леса, альпийская лесотундра, лесные пожары",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИЛ СО РАН, 

Красноярский край"
30,31,14-22-00249,"Изучение Луны и планет солнечной системы методами ядерной физики,",Митрофанов И. Г.,"Детекторы, сцинтилляторы, гамма-лучи, гамма-спектроскопия, нейтроны, химический состав, содержание воды, планеты, ядерная планетология, Луна, Марс, Меркурий, Венера.",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ИКИ РАН, 

г Москва"
31,32,14-24-00175,"Геномный анализ как основа изучения механизмов эволюционной адаптации,",Скрябин К. Г.,"геном, NGS, эволюция, адаптация, миниатюризация у насекомых, метилирование ДНК, растение-паразит, метагеномика",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФИЦ Биотехнологии РАН, 

г Москва"
32,33,14-24-00135,"Дифференцировка симбиотических компартментов азотфиксирующих клубеньков бобовых: согласованные изменения транскрипционной активности геномов симбионтов и гормонального статуса симбиотических тканей,",Тихонович И. А.,"Растительно-микробные системы, бобово-ризобиальный симбиоз, симбиотический клубенек, дифференциальная экспрессия генов, генные регуляторные и ко-экспрессионные сети, фитогормоны, ауксин, цитокинин, абсцизовая и жасмоновая кислоты, Pisum sativum L., Rhizobium leguminosarum bv. viceae",Биология и науки о жизни,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБНУ ВНИИСХМ, 

г Санкт-Петербург"
33,34,14-22-00281,"Kвантовая теория поля низкой размерности в физике элементарных частиц и конденсированных сред,",Липатов Л. Н.,"двумерные модели квантовой теории поля, АдС/КТП-соответствие, интегрируемость, померон, БФКЛ, суперсимметрия, гравитон, глюбол, дуальность, конфайнмент, квантовые проволоки, двумерные наносистемы",Физика и науки о космосе,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБУ ""ПИЯФ"", 

Ленинградская обл"
34,35,14-26-00094,"Анализ генетического и эволюционного потенциала почвенного микробиома для повышения продуктивности растений и плодородия почв,",Проворов Н. А.,"Почва, ризосфера, микробное сообщество, эволюция, адаптация, ген, геном, метагеном, растительно-микробные взаимодействия",Сельскохозяйственные науки,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБНУ ВНИИСХМ, 

г Санкт-Петербург"
35,36,14-25-00139,"Создание системы мишень-ориентированного поиска биологически активных соединений, влияющих на патогенетически важные звенья нарушения углеводного обмена при сахарном диабете типа 2, с использованием технологий компьютерного моделирования и медицинской химии,",Спасов А. А.,"сахарный диабет, антидиабетические препараты, система поиска, in silico, in vitro, in vivo, виртуальный скрининг, направленный синтез, ингибиторы ДПП-4, ингибиторы гликогенфосфорилазы, агонисты PPAR-гамма, ингибиторы реакции Мейларда, разрушители поперечных сшивок гликированных белков, гипогликемические вещества, препараты сочетанного действия",Фундаментальные исследования для медицины,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ГБОУ ВПО ВолгГМУ Минздрава России, 

Волгоградская обл"
36,37,14-25-00129,"Разработка новейших подходов для изучения механизмов действия противоопухолевых препаратов и раннего ответа опухоли на лечение на основе оптических и молекулярных технологий,",Лукьянов К. А.,"противоопухолевые препараты, механизмы действия, ранний ответ опухоли на лечение, микроскопия сверхвысокого разрешения, флуоресцентная многофотонная микроскопия с временным разрешением, флуоресцентный имиджинг, ОКТ, генетически-кодируемый сенсор, культуры клеток, опухолевые сфероиды, опухолевая модель",Фундаментальные исследования для медицины,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ГБОУ ВПО НижГМА Минздрава России, 

Нижегородская обл"
37,38,14-25-00181,"Персонализация подходов к профилактике и лечению нарушений углеводного обмена в зависимости от молекулярно-генетических, клинических, гормонально-метаболических и социальных маркеров инсулинорезистентности.,",Шестакова М. В.,"Ожирение, инсулинорезистентность, сахарный диабет 2 типа, бурая жировая ткань, «бежевые» адипоциты, FGF21 (фактор роста фибробластов 21), UCP1 (разобщающий белок 1), биопсия, МР-спектроскопия, помповая инсулинотерапия, мониторирование глюкозы, искусственные мембраны, математическое моделирование",Фундаментальные исследования для медицины,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"ФГБУ ""Эндокринологический научный центр"" Минздрава России, ФГБУ ЭНЦ МЗ РФ, 

г Москва"
38,39,14-23-00094,"Механизмы формирования и каталитического действия активных центров молекулярно-ситовых катализаторов процессов газохимии, нефтехимии и органического синтеза,",Иванова И. И.,"Гетерогенный катализ, механизм, спектроскопия ЯМР ВМУ in situ, активные центры, молекулярные сита, каталитические наноматериалы, цеолиты MFI и BEA, силикоалюмофосфаты CHA и AEI; мезопористые материалы МСМ-41, микро-мезопористые молекулярные сита, конверсия спиртов и альдегидов, алкилирование ароматических углеводородов, олигомеризации олефинов, окисление олефинов.",Химия и науки о материалах,Конкурс 2014 года «Проведение фундаментальных научных исследований и поисковых научных исследований коллективами существующих научных лабораторий (кафедр)»,2014,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
