,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Математика, механика, информатика",529,2001,2532,3640,2076,2142,1982,1835,2345,2483,1930,1865,2130,1818,1788,2016,2136,1859,2084,1853,484,73
Физика и астрономия,759,3599,4397,6557,4140,3930,3629,3167,3863,3676,3251,3120,3812,3405,3379,3822,4044,3514,3682,2952,783,139
Химия и науки о материалах,490,2899,3138,5777,3231,3082,2758,2489,3692,3427,3146,3189,3533,3865,3795,4365,4790,4117,4666,3929,1087,158
Биология и медицинские науки,487,2057,2396,3951,2449,2059,1970,1784,2506,2340,2102,2193,2505,2474,2520,2791,2956,2610,2863,2438,630,95
Науки о Земле,433,1854,2590,4123,2869,2502,2337,2242,2718,2357,2486,2241,2497,2672,2344,2723,2851,2637,2900,2287,509,100
Естественнонаучные методы исследований в гуманитарных науках,0,0,0,3,774,907,861,907,899,986,898,924,970,1131,1053,1117,1232,1469,1280,895,0,30
Инфокоммуникационные технологии и вычислительные системы,0,0,0,0,0,0,0,2,2,2,0,0,0,0,127,151,175,247,1512,134,3,55
Фундаментальные основы инженерных наук,0,0,0,0,0,0,0,0,0,0,0,0,1772,2467,1862,2488,2864,2418,2695,2478,38,104
